pmid	contains_interactions	correct_pairs	curator	set
19826415	yes		Luana	
19843605	no		Livia	last.dsp.prio
19843608	yes		Luana	
19858347	yes	yes	Luana	
19891780	yes		Luana	
19893624	yes	no|yes	Luana	
19906289	no		Pablo	
19917778	Yes	yes	Livia|Luana	last.dsp.prio
19934020	yes	yes	Kalpana	last.dsp.prio
19934254	No		Sandra	last.dsp.prio
19997487	yes		Luana	
20025763	no		Pablo	
20032497	No		Sandra	last.dsp.prio
20034391	yes		Luana	
20035625	yes		Mgt	last.dsp.prio
20037584	yes	yes	Luana	
20037628	yes		Luana	
20046643	no		Pablo	
20062533	yes		Pablo	
20067962	yes		marta	last.dsp.prio
20077143	no		Pablo	
20083603	yes	no	Luana	
20085636	no		Pablo	
20093365	no		Luana	
20098423	yes		Luana	
20098713	yes	yes	Kalpana	last.dsp.prio
20101261	yes		Luana	
20129943	yes	yes	Luana	
20139419	no		Pablo	
20141835	yes	no	Luana	
20142846	no		Livia	last.dsp.prio
20154325	no	no	Luana	
20160730	no	no	Luana	
20164921	yes	no	Luana	
20174559	yes		Pablo	
20179161	yes		Sandra	last.dsp.prio
20207734	yes		Livia	last.dsp.prio
20209098	no		Luana	
20222950	no		mgt	last.dsp.prio
20231386	yes	yes	Luana	
20305814	yes		Luana	
20368408	no		Luana	
20370918	yes		livia	last.dsp.prio
20383197	no		Luana	
20406461	Yes		Sandra	last.dsp.prio
20409077	yes		Luana	
20414334	yes		Pablo	
20421966	yes	no	Luana	
20429888	yes		Luana	last.dsp.prio
20433758	no		Pablo	
20485285	no		Luana	
20485341	yes	no	Luana	
20505756	yes		Livia	last.dsp.prio
20509860	no		Livia	last.dsp.prio
20519495	Yes		Sandra	last.dsp.prio
20526328	yes	yes|no	livia|Luana	last.dsp.prio
20541955	no		Livia	last.dsp.prio
20541997	no	no	Luana	
20544025	no		Pablo	
20565848	yes		Livia	last.dsp.prio
20565882	yes		Luana	
20566683	no	no	Luana	
20603627	no		Pablo	
20614012	yes		Luana	
20631154	yes		Luana	
20631154	Yes	yes	Sandra	last.dsp.prio
20637660	yes		Luana	
20637895	yes		Livia	last.dsp.prio
20646316	no		Pablo	
20650008	yes	yes	Kalpana	last.dsp.prio
20660480	yes		Luana	last.dsp.prio
20660630	yes		Pablo	
20686688	yes		Livia	last.dsp.prio
20696699	no		Pablo	
20696707	no	no	Luana	
20713597	yes	yes|no	Luana	
20729554	yes		Livia	last.dsp.prio
20730086	no		Luana	
20733035	yes		Pablo	
20808826	No	yes	Sandra|Luana	last.dsp.prio
20809954	no		Pablo	
20810787	yes		Pablo	
20813759	yes		Luana	last.dsp.prio
20838592	no	no	Luana	
20841325	no	no	Luana	
20842112	yes		Pablo	
20860785	no		Pablo	
20860841	no		Livia	last.dsp.prio
20861162	no		Luana	
20863384	no		Pablo	
20871616	yes	no	Luana	
20877569	no		Luana	
20885816	no		Livia	last.dsp.prio
20921139	yes	yes|no	Luana	
20931347	no		Pablo	
20937695	yes	yes	Kalpana	last.dsp.prio
20949035	no		Luana	
20972224	yes		Livia	last.dsp.prio
20977782	no		livia	last.dsp.prio
20980406	yes		Livia	last.dsp.prio
21060840	no		Luana	
21062477	yes		Pablo	
21062517	No		Sandra	last.dsp.prio
21072212	yes		Livia	last.dsp.prio
21092115	no		Pablo	
21092294	no		Luana	
21119010	yes		Luana	
21138966	yes		Luana	
21148148	yes		Mgt	last.dsp.prio
21148293	yes		Pablo	
21152186	yes		Livia	last.dsp.prio
21167041	no		Pablo	
21177859	yes		Luana	
21187328	no		Pablo	
21189249	yes		Luana	
21189951	No		Sandra	last.dsp.prio
21203464	no		Pablo	
21209915	yes		Luana	
21218122	no		Luana	
21220513	yes		Luana	
21221177	no		Livia	last.dsp.prio
21224387	yes	yes	Luana	
21235798	No		Sandra	last.dsp.prio
21239502	yes		Luana	
21264300	yes		Pablo	
21278917	no		Livia	last.dsp.prio
21282463	no	no	Luana	
21284855	yes	yes	Luana	
21288883	No		Livia	last.dsp.prio
21291561	no		Pablo|Luana	
21293379	yes	no	Luana	
21295084	no		livia	last.dsp.prio
21297943	no		Luana	
21298097	yes	yes	Luana	
21299499	yes	yes	Luana	
21304979	no		Luana	
21304987	no		Luana	
21311754	Yes	yes	Mgt	last.dsp.prio
21345196	no		Livia	last.dsp.prio
21347226	no		Livia	last.dsp.prio
21349159	no		Livia	last.dsp.prio
21350583	no		Livia	last.dsp.prio
21357692	yes	yes	Kalpana	last.dsp.prio
21357749	yes		Livia	last.dsp.prio
21375726	no	no	Luana	
21378119	yes	yes	Luana	
21399697	yes		Luana	
21402738	No		Prisca	last.dsp.prio
21408196	yes	yes	Luana	
21423673	no		Luana	
21423803	yes		Pablo	
21445058	yes		Luana	
21445324	no	no	Luana	
21455491	yes		Livia	last.dsp.prio
21464960	yes		Pablo	
21478866	Yes	yes	Sandra|Pablo	last.dsp.prio
21481226	yes		Luana	last.dsp.prio
21483817	yes		Livia	last.dsp.prio
21483830	yes		Luana	last.dsp.prio
21486470	yes		Mgt	last.dsp.prio
21492422	no		Luana	
21533021	no		Luana	
21533169	no		Pablo	
21548981	no		Livia	last.dsp.prio
21552570	yes		Luana	
21559420	no		Pablo	
21572106	yes		Pablo	
21595920	No		Sandra	last.dsp.prio
21596782	yes		Luana	
21624163	No		Nancy Campbell	last.dsp.prio
21625473	yes		marta	last.dsp.prio
21629692	yes		Luana	last.dsp.prio
21630250	no		Pablo	
21655214	no		Nancy Campbell	last.dsp.prio
21665565	yes		Luana	
21680713	Yes	yes|no	sandra|simona	last.dsp.prio
21685449	yes		Luana	
21695114	yes	no	Simona	
21695141	yes	yes	Mgt	last.dsp.prio
21695169	no		Luana	
21695240	no		Livia	last.dsp.prio
21698215	yes		Luana	
21701047	no		Luana	
21733846	no		Livia	last.dsp.prio
21737330	yes	no|yes	Simona	
21737422	yes		Mgt	last.dsp.prio
21738726	yes		Livia	last.dsp.prio
21750715	yes		Livia	last.dsp.prio
21768289	yes	yes|no	Simona	
21773019	yes		Luana	
21798038	yes		Luana	
21799911	yes	yes	marta|Simona	last.dsp.prio
21804533	yes	no	Simona	
21807881	yes	yes	Simona	
21814311	no		Livia	last.dsp.prio
21814512	yes		marta	last.dsp.prio
21818277	yes		Pablo	
21826244	Yes		Sandra	last.dsp.prio
21828071	no		Livia	last.dsp.prio
21829465	no		Livia	last.dsp.prio
21829704	Yes		Livia	last.dsp.prio
21829721	yes		Luana	
21842183	no		Kalpana	last.dsp.prio
21845024	no		livia	last.dsp.prio
21849478	yes		Livia	last.dsp.prio
21853095	yes		Luana	
21854562	no		Pablo	
21858081	yes		Livia	last.dsp.prio
21858082	no		Mgt	last.dsp.prio
21858095	yes		Livia	last.dsp.prio
21858214	yes	yes	Kalpana	last.dsp.prio
21859844	no		Luana	
21876773	yes	yes	Livia|Luana	last.dsp.prio
21887223	yes		Luana	
21896202	no		livia	last.dsp.prio
21900492	no		Pablo	
21912513	yes		Luana	
21912642	yes		marta	last.dsp.prio
21912660	no		Livia	last.dsp.prio
21915273	yes		Pablo	
21915281	no		Livia	last.dsp.prio
21926273	no		Luana	
21930770	no		Luana	
21930777	yes		Luana	
21931555	yes		Pablo	
21931591	yes		Luana	
21931631	yes		Luana	
21931826	yes		Livia	last.dsp.prio
21934682	no		Luana	
21949655	No		Sandra	last.dsp.prio
21949767	no		Pablo	
21951318	yes		Livia	last.dsp.prio
21957439	Yes		Sandra	last.dsp.prio
21966355	no	no	Simona	
21967847	yes		Pablo	
21969857	no		Luana	
21986938	yes		Pablo	
21996749	yes		Luana	
21998301	yes		Pablo	
22022399	yes		Livia	last.dsp.prio
22028770	yes	yes	Kalpana	last.dsp.prio
22028876	no		Pablo|Luana	
22046272	no		Luana	
22069470	yes		Pablo	
22069485	?	yes	Sandra	last.dsp.prio
22069553	No		Sandra	last.dsp.prio
22084607	no		Nancy Campbell	last.dsp.prio
22087308	no		Livia	last.dsp.prio
22101327	no	no	Simona	
22110043	yes	yes	Simona	
22110701	no		Pablo	
22118466	Yes	yes|no	Sandra|Simona	last.dsp.prio
