Pubmed	Owner	Status	Admin Users	Admin Groups	
22022399	PMDaemon	RELEASED	liviap	INTACT,IMEX CURATORS
16717130	intact	RELEASED	ADMIN,sruthi	ADMIN,INTACT CURATORS,MBINFO,IMEX CURATORS
15611341	PMDaemon	NEW	ADMIN	ADMIN,IMEX CURATORS
18159247	PMDaemon	NEW		IMEX CURATORS
14557253	PMDaemon	NEW	ADMIN	ADMIN,IMEX CURATORS
16043512	PMDaemon	NEW	ADMIN	ADMIN,IMEX CURATORS
20650008	PMDaemon	NEW	ADMIN	ADMIN,IMEX CURATORS
19307596	PMDaemon	NEW	ADMIN	ADMIN,IMEX CURATORS
18650365	PMDaemon	NEW	ADMIN	ADMIN,IMEX CURATORS
21596782	PMDaemon	NEW	ADMIN	ADMIN,IMEX CURATORS
26159175	PMDaemon	NEW	ADMIN	ADMIN,IMEX CURATORS
17868456	PMDaemon	NEW	ADMIN	ADMIN,IMEX CURATORS
15851487	PMDaemon	NEW	ADMIN	ADMIN,IMEX CURATORS
20067962	PMDaemon	NEW	ADMIN	ADMIN,IMEX CURATORS
18056410	PMDaemon	NEW	ADMIN	ADMIN,IMEX CURATORS
19465385	PMDaemon	NEW	ADMIN	ADMIN,IMEX CURATORS
19933999	PMDaemon	NEW	ADMIN	ADMIN,IMEX CURATORS
21814512	PMDaemon	NEW	ADMIN	ADMIN,IMEX CURATORS
15381688	PMDaemon	NEW	ADMIN	ADMIN,IMEX CURATORS
24068928	PMDaemon	NEW	ADMIN	ADMIN,IMEX CURATORS
17341466	intact	RELEASED	ADMIN,phantom	ADMIN,MINT,INTACT CURATORS,IMEX CURATORS
18820298	PMDaemon	NEW	ADMIN	ADMIN,IMEX CURATORS
19797056	PMDaemon	NEW	ADMIN	ADMIN,IMEX CURATORS
14610044	PMDaemon	NEW	ADMIN	ADMIN,IMEX CURATORS
19934020	PMDaemon	NEW	ADMIN	ADMIN,IMEX CURATORS
19221586	PMDaemon	NEW		IMEX CURATORS
20805562	PMDaemon	NEW	ADMIN	ADMIN,IMEX CURATORS
21799911	PMDaemon	NEW		IMEX CURATORS
17452529	PMDaemon	NEW	ADMIN	ADMIN,IMEX CURATORS
18393939	PMDaemon	NEW	ADMIN	ADMIN,IMEX CURATORS
17541467	PMDaemon	NEW	ADMIN	ADMIN,IMEX CURATORS
21912642	PMDaemon	NEW		IMEX CURATORS
21494322	PMDaemon	NEW	ADMIN	ADMIN,IMEX CURATORS
21541365	intact	RELEASED	phantom,pporras	INTACT,IMEX CURATORS
21625473	PMDaemon	NEW		IMEX CURATORS
18411307	PMDaemon	NEW	ADMIN	ADMIN,IMEX CURATORS
20840765	PMDaemon	NEW	ADMIN	ADMIN,IMEX CURATORS
11756481	PMDaemon	NEW	ADMIN	ADMIN,IMEX CURATORS
21799674	PMDaemon	NEW	ADMIN	ADMIN,IMEX CURATORS
15210733	PMDaemon	NEW	ADMIN	ADMIN,IMEX CURATORS
20813759	PMDaemon	NEW	ADMIN	ADMIN,IMEX CURATORS
21481226	PMDaemon	NEW	ADMIN	ADMIN,IMEX CURATORS
21526180	PMDaemon	NEW		IMEX CURATORS
16464248	PMDaemon	NEW		IMEX CURATORS
