Entry	input_up	Organism ID
A0A096MK76	A0A096MK76	10116
A0A096MK78	A0A096MK78	10116
A0A096MK86	A0A096MK86	10116
A0A096MK88	A0A096MK88	10116
A0A096MK92	A0A096MK92	10116
A0A096MKA3	A0A096MKA3	10116
A0A096MKA6	A0A096MKA6	10116
A0A096MKA9	A0A096MKA9	10116
A0A096MKB0	A0A096MKB0	10116
A0A096MKB8	A0A096MKB8	10116
A0A096MKC3	A0A096MKC3	10116
A0A096MKE9	A0A096MKE9	10116
A0A096MKF1	A0A096MKF1	10116
A0A096MKF2	A0A096MKF2	10116
A0A096MKF4	A0A096MKF4	10116
A0A096MKF6	A0A096MKF6	10116
A0A096MKF9	A0A096MKF9	10116
A0A096MKG1	A0A096MKG1	10116
A0A096MKG2	A0A096MKG2	10116
A0A096MKG3	A0A096MKG3	10116
A0A096MKH2	A0A096MKH2	10116
A0A096MKI4	A0A096MKI4	10116
A0A096MKI5	A0A096MKI5	10116
A0A096MKI6	A0A096MKI6	10116
A0A096P6K7	A0A096P6K7	10090
A0A096P6L4	A0A096P6L4	10116
A0A096P6L8	A0A096P6L8	10116
A0A096P6L9	A0A096P6L9	10116
A0A096P6M0	A0A096P6M0	10116
A0A096P6M4	A0A096P6M4	10116
A0A096P6M5	A0A096P6M5	10116
A0A096P6M7	A0A096P6M7	10116
A0A096UWG1	A0A096UWG1	10116
A0A096UWG9	A0A096UWG9	10116
A0A097PA37	A0A097PA37	5833
A0A097PB34	A0A097PB34	5833
A0A0A0MP85	A0A0A0MP85	9913
A0A0A0MP87	A0A0A0MP87	9913
A0A0A0MP88	A0A0A0MP88	9913
A0A0A0MP89	A0A0A0MP89	9913
A0A0A0MP91	A0A0A0MP91	9913
A0A0A0MP92	A0A0A0MP92	9913
A0A0A0MP99	A0A0A0MP99	9913
A0A0A0MPA0	A0A0A0MPA0	9913
A0A0A0MPA1	A0A0A0MPA1	9913
A0A0A0MPA2	A0A0A0MPA2	9913
A0A0A0MPA8	A0A0A0MPA8	9615
A0A0A0MPA9	A0A0A0MPA9	9615
A0A0A0MPB4	A0A0A0MPB4	9615
A0A0A0MPB6	A0A0A0MPB6	9615
A0A0A0MPB7	A0A0A0MPB7	9615
A0A0A0MPB8	A0A0A0MPB8	9615
A0A0A0MPB9	A0A0A0MPB9	9615
A0A0A0MPC1	A0A0A0MPC1	9615
A0A0A0MPC3	A0A0A0MPC3	9615
A0A0A0MPC5	A0A0A0MPC5	9615
A0A0A0MPC6	A0A0A0MPC6	9615
A0A0A0MPD0	A0A0A0MPD0	9615
A0A0A0MPD1	A0A0A0MPD1	9615
A0A0A0MPD2	A0A0A0MPD2	9615
A0A0A0MPD3	A0A0A0MPD3	9615
A0A0A0MPD4	A0A0A0MPD4	9615
A0A0A0MPD5	A0A0A0MPD5	9615
A0A0A0MPD6	A0A0A0MPD6	9615
A0A0A0MPD7	A0A0A0MPD7	9615
A0A0A0MPD8	A0A0A0MPD8	9615
A0A0A0MPE6	A0A0A0MPE6	7955
A0A0A0MPF3	A0A0A0MPF3	7955
A0A0A0MPF4	A0A0A0MPF4	7955
A0A0A0MPG5	A0A0A0MPG5	7955
A0A0A0MPG8	A0A0A0MPG8	7955
A0A0A0MPG9	A0A0A0MPG9	7955
A0A0A0MPI9	A0A0A0MPI9	7955
A0A0A0MPJ2	A0A0A0MPJ2	7955
A0A0A0MPJ4	A0A0A0MPJ4	7955
A0A0A0MPK2	A0A0A0MPK2	7955
A0A0A0MPK4	A0A0A0MPK4	7955
A0A0A0MPL2	A0A0A0MPL2	7955
A0A0A0MPN8	A0A0A0MPN8	7955
A0A0A0MPS5	A0A0A0MPS5	7955
A0A0A0MPT5	A0A0A0MPT5	7955
A0A0A0MPT6	A0A0A0MPT6	7955
A0A0A0MPV6	A0A0A0MPV6	7955
A0A0A0MPW8	A0A0A0MPW8	7955
A0A0A0MQ33	A0A0A0MQ33	
A0A0A0MQ42	A0A0A0MQ42	9031
A0A0A0MQ44	A0A0A0MQ44	9031
A0A0A0MQ45	A0A0A0MQ45	9031
A0A0A0MQ60	A0A0A0MQ60	9031
A0A0A0MQ61	A0A0A0MQ61	9031
A0A0A0MQ85	A0A0A0MQ85	10090
A0A0A0MQ89	A0A0A0MQ89	10090
A0A0A0MQA4	A0A0A0MQA4	10090
A0A0A0MQB2	A0A0A0MQB2	10090
A0A0A0MQB3	A0A0A0MQB3	10090
A0A0A0MQE8	A0A0A0MQE8	10090
A0A0A0MQF3	A0A0A0MQF3	10090
