pair_id	id_a	id_b	pair_id_clean	id_a_clean	id_b_clean	taxid_a	taxid_b	pubid
P27540_Q9Y5J3	Q9Y5J3	P27540	P27540_Q9Y5J3	Q9Y5J3	P27540	9606	9606	10692439
P47897_P54136	P47897	P54136	P47897_P54136	P47897	P54136	9606	9606	24656866
P61020_Q15075	Q15075	P61020	P61020_Q15075	Q15075	P61020	9606	9606	10491193
P61020_Q96HU1	Q96HU1	P61020	P61020_Q96HU1	Q96HU1	P61020	9606	9606	17562788
Q02080_Q9UKV0	Q9UKV0	Q02080	Q02080_Q9UKV0	Q9UKV0	Q02080	9606	9606	15567413
P42768_Q08881	P42768	Q08881	P42768_Q08881	P42768	Q08881	9606	9606	8892607
O43561_Q08881	O43561	Q08881	O43561_Q08881	O43561	Q08881	9606	9606	12186560
Q01814-1_Q13425	Q01814-1	Q13425	Q01814_Q13425	Q01814	Q13425	9606	9606	12763866
Q13425_Q9HB19	Q9HB19	Q13425	Q13425_Q9HB19	Q9HB19	Q13425	9606	9606	19786618
P21333_Q14195	P21333	Q14195	P21333_Q14195	P21333	Q14195	9606	9606	25358863
O00401_Q15233	O00401	Q15233	O00401_Q15233	O00401	Q15233	9606	9606	16767080
P52272_Q15233	P52272	Q15233	P52272_Q15233	P52272	Q15233	9606	9606	19874820
P23246_Q15233	P23246	Q15233	P23246_Q15233	P23246	Q15233	9606	9606	25765647
P55160_Q15233	P55160	Q15233	P55160_Q15233	P55160	Q15233	9606	9606	16417406
Q15233_Q99497	Q99497	Q15233	Q15233_Q99497	Q99497	Q15233	9606	9606	15790595
Q03468_Q15233	Q03468	Q15233	Q03468_Q15233	Q03468	Q15233	9606	9606	26030138
Q6PGN9_Q8N9V6	Q8N9V6	Q6PGN9	Q6PGN9_Q8N9V6	Q8N9V6	Q6PGN9	9606	9606	26820536
O00139_Q6PGN9	O00139	Q6PGN9	O00139_Q6PGN9	O00139	Q6PGN9	9606	9606	18411309
Q8IY18_Q96SB8	Q96SB8	Q8IY18	Q8IY18_Q96SB8	Q96SB8	Q8IY18	9606	9606	11408570
Q8IX21_Q8IY18	Q8IX21	Q8IY18	Q8IX21_Q8IY18	Q8IX21	Q8IY18	9606	9606	25931565
Q8IY18_Q9NS91	Q9NS91	Q8IY18	Q8IY18_Q9NS91	Q9NS91	Q8IY18	9606	9606	25931565
P11142_Q8WXX5	P11142	Q8WXX5	P11142_Q8WXX5	P11142	Q8WXX5	9606	9606	17182002
P0DMV9_Q8WXX5	P0DMV9	Q8WXX5	P0DMV9_Q8WXX5	P0DMV9	Q8WXX5	9606	9606	17182002
P0DMV8_Q8WXX5	P0DMV8	Q8WXX5	P0DMV8_Q8WXX5	P0DMV8	Q8WXX5	9606	9606	17182002
P34931_Q8WXX5	P34931	Q8WXX5	P34931_Q8WXX5	P34931	Q8WXX5	9606	9606	17182002
P14416-1_Q92806	P14416-1	Q92806	P14416_Q92806	P14416	Q92806	9606	9606	12297500
