ida	idb	pair_id	ida_clean	idb_clean	pair_id_clean	pubid	GO_IPI
A0A0H2URL1	Q97RU8	A0A0H2URL1_Q97RU8	A0A0H2URL1	Q97RU8	A0A0H2URL1_Q97RU8	23267104	1
A0A0H2URN5	P66444	A0A0H2URN5_P66444	A0A0H2URN5	P66444	A0A0H2URN5_P66444	23267104	1
A0A0H2URP5	Q97QD4	A0A0H2URP5_Q97QD4	A0A0H2URP5	Q97QD4	A0A0H2URP5_Q97QD4	23267104	1
A0A0H2URQ1	A0A0H2UPK7	A0A0H2UPK7_A0A0H2URQ1	A0A0H2URQ1	A0A0H2UPK7	A0A0H2UPK7_A0A0H2URQ1	23267104	1
A0A0H2URQ2	A0A0H2UP89	A0A0H2UP89_A0A0H2URQ2	A0A0H2URQ2	A0A0H2UP89	A0A0H2UP89_A0A0H2URQ2	23267104	1
A0A0H2URR3	A0A0H2UQF6	A0A0H2UQF6_A0A0H2URR3	A0A0H2URR3	A0A0H2UQF6	A0A0H2UQF6_A0A0H2URR3	23267104	1
A0A0H2URR7	A0A0H2UNJ6	A0A0H2UNJ6_A0A0H2URR7	A0A0H2URR7	A0A0H2UNJ6	A0A0H2UNJ6_A0A0H2URR7	23267104	1
A0A0H2URW0	E7DN68	A0A0H2URW0_E7DN68	A0A0H2URW0	E7DN68	A0A0H2URW0_E7DN68	27103053	1
A0A0H2URY4	E7DN78	A0A0H2URY4_E7DN78	A0A0H2URY4	E7DN78	A0A0H2URY4_E7DN78	27103053	1
A0A0H2URZ0	A0A0H2UN91	A0A0H2UN91_A0A0H2URZ0	A0A0H2URZ0	A0A0H2UN91	A0A0H2UN91_A0A0H2URZ0	23267104	1
A0A0H2URZ6	A0A0H2UQJ4	A0A0H2UQJ4_A0A0H2URZ6	A0A0H2URZ6	A0A0H2UQJ4	A0A0H2UQJ4_A0A0H2URZ6	23267104	1
A0A0H2US22	A0A0H2UNK7	A0A0H2UNK7_A0A0H2US22	A0A0H2US22	A0A0H2UNK7	A0A0H2UNK7_A0A0H2US22	23267104	1
A0A0H2US45	A0A0H2UQN3	A0A0H2UQN3_A0A0H2US45	A0A0H2US45	A0A0H2UQN3	A0A0H2UQN3_A0A0H2US45	23267104	1
A0A0H2US55	A0A0H2US72	A0A0H2US55_A0A0H2US72	A0A0H2US55	A0A0H2US72	A0A0H2US55_A0A0H2US72	23267104	1
A0A0H2US62	A0A0H2URF8	A0A0H2URF8_A0A0H2US62	A0A0H2US62	A0A0H2URF8	A0A0H2URF8_A0A0H2US62	23267104	1
A0A0H2US72	A0A0H2US55	A0A0H2US55_A0A0H2US72	A0A0H2US72	A0A0H2US55	A0A0H2US55_A0A0H2US72	23267104	1
A0A0H2US80	E7DN93	A0A0H2US80_E7DN93	A0A0H2US80	E7DN93	A0A0H2US80_E7DN93	27103053	1
A0A0H2US90	E7DNC4	A0A0H2US90_E7DNC4	A0A0H2US90	E7DNC4	A0A0H2US90_E7DNC4	27103053	1
